# ROSIE Middleware Platform - Risk Assessment Log
# RFC-001 SS3 Compliance - Deterministic Risk Register
# System: ROSIE Middleware Platform v0.1.0
# GxP Risk Rating: HIGH
# Last Updated: 2026-02-05
# Owner: PharmaLedger Association (compliance@pharmaledger.org)
# ============================================================================
# Format: [DATE] RISK-ID | REQ-ID | Risk: LEVEL | Impact: ... | Mitigation: ... | Test Coverage: SPEC-ID
# ============================================================================

# --- Requirement-Linked Risks ---

[2026-02-05] RISK-001 | REQ-001 | Risk: MEDIUM | Impact: Incorrect repository registration could cause scanning of wrong repositories or missed repositories; cascading deletes could remove compliance evidence and break audit trail integrity | Mitigation: URL validation before registration; unique constraint on git_url prevents duplicates; soft delete preserves audit trail; integration tests cover CRUD operations and database constraints | Test Coverage: SPEC-001-001, SPEC-007-001

[2026-02-05] RISK-002 | REQ-002 | Risk: HIGH | Impact: Scanning wrong commit SHA validates different code than intended; missing artifacts produce incomplete compliance picture; unverified content could allow tampered files into validation pipeline; rate limit exhaustion blocks all scanning operations | Mitigation: Commit SHA verification on every fetch; exponential backoff for rate limits; batch requests (10 files/batch) to reduce API consumption; HTTPS enforced for all GitHub API calls; tokens stored in environment variables, never logged or exposed | Test Coverage: SPEC-002-001, SPEC-002-002

[2026-02-05] RISK-003 | REQ-003 | Risk: HIGH | Impact: Missing system_context.md prevents establishing system boundary or risk rating; misclassified artifact types cause wrong parser to be applied; missed artifact files produce incomplete traceability chains and false negatives in compliance reporting | Mitigation: Explicit path pattern matching for each artifact type (REQ-*.md, US-*.md, SPEC-*.md, *.jws); mandatory system_context.md check before proceeding; warnings logged for missing subdirectories; artifact count summary included in scan results for manual verification | Test Coverage: SPEC-003-001, SPEC-004-003

[2026-02-05] RISK-004 | REQ-004 | Risk: HIGH | Impact: Missing gxp_id extraction breaks traceability links creating orphan artifacts; incorrect parent_id parsing breaks traceability chains producing false negatives; failed YAML parsing excludes artifacts from validation giving incomplete compliance picture; malformed JWS parsing prevents cryptographic evidence verification | Mitigation: gray-matter library for robust YAML extraction; graceful error handling (log and continue, do not crash scan); field name normalization supports both snake_case and camelCase; artifacts marked as incomplete or parse_error in database rather than silently dropped | Test Coverage: SPEC-004-001, SPEC-004-002

[2026-02-05] RISK-005 | REQ-005 | Risk: HIGH | Impact: Partial transactions create incomplete artifact sets with broken traceability chains; missing foreign keys produce orphan artifacts with invalid parent references; absent audit trail prevents tracing when/why artifacts were modified; duplicate artifacts cause confusion over canonical versions | Mitigation: Atomic database transactions wrap all artifact inserts (all-or-nothing); foreign key constraints enforced via Drizzle ORM schema; immutable append-only audit_log table records all write operations; unique constraint on (repository_id, gxp_id) prevents duplicates with upsert on conflict; performance indexes on traceability fields | Test Coverage: SPEC-005-001, SPEC-INF-001

